"歷年我國紙本雜誌、數位出版品出版情況","","","",""
"","","","",""
"","","","",""
"T","C","R","I","R"
"年(民國)","","家","元新臺幣","種數"
"","","0","0","0"
"年度","分類","廠商家數","平均定價","種數"
"105","紙本雜誌","243","199","546"
"105","電子書","342","282","5280"
"105","電子漫畫","8","73","498"
"105","電子雜誌","217","120","443"
"106","紙本雜誌","330","225","842"
"106","電子書","686","270","6913"
"106","電子漫畫","18","86","1435"
"106","電子雜誌","202","112","583"
"107","紙本雜誌","356","227","946"
"107","電子書","757","300","10149"
"107","電子漫畫","43","79","1807"
"107","電子雜誌","306","121","660"
"108","紙本雜誌","327","207","807"
"108","電子書","539","248","9967"
"108","電子漫畫","31","61","1938"
"108","電子雜誌","297","187","665"
"109","紙本雜誌","285","220","786"
"109","電子書","711","226","12910"
"109","電子漫畫","50","117","2712"
"109","電子雜誌","227","123","665"