"國內發行商市佔率","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"資料來源：2017年以前資料台經院整理自臺北市影片商業同業公會提供之臺北市電影票房資料，2017年以後為台經院整理自電影片映演業依電影法規定提供予文化部影視局之電影票房資料與電影片分級資料查詢。","","","","","","","","","","","","","","","","","","","","",""
"T","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","",""
"年(民國)","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","",""
"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"年度","華納","博偉","福斯","派拉蒙","環球","威視","龍祥","威望","原子映象","安邁進","華聯","甲上","車庫","迪士尼","21世紀福斯","采昌","索尼","海樂","其他","木棉花","華映"
"103","15.52","15.129999999999999","13.700000000000001","10.11","7.489999999999999","7.140000000000001","6.39","3.32","2.44","2.04","-","-","-","-","-","-","-","-","16.73","",""
"104","11.61","17.8","14.7","6.64","20.18","2.55","3.8600000000000003","2.45","-","-","5.319999999999999","3.4000000000000004","-","-","-","-","-","-","11.49","",""
"105","17.76","20.76","12.01","5.2299999999999995","7.99","3.58","3.8899999999999997","6.550000000000001","-","-","-","-","4.05","-","-","-","-","-","14.57","",""
"106","15.22","8.25","11.200000000000001","6.11","16.66","4.02","-","4.96","-","-","-","2.75","3.56","12.629999999999999","-","-","-","-","14.64","",""
"107","19.61","6.510000000000001","-","6.279999999999999","13.55","1.92","-","1.76","-","-","-","-","2.15","16.39","10.73","8.89","-","-","12.21","",""
"108","16.06","-","-","3","9.879999999999999","2.87","-","3.93","-","-","-","-","4.83","29.24","4.25","-","6.8500000000000005","3.06","16.03","",""
"109","12.23","","","","4.76","6.75","","3.53","","","","3.32","15.34","4","","","9.89","","24.48","12.03","3.66"