"104-108年我國電視節目製播概況(以播出時間計)","","",""
"","","",""
"註1：2018年兒少節目製作時數為回溯修正。
註2：上表各項數據中，依各年度委辦需求及產業發展趨勢增加數據蒐集項目，故本研究自2014年起增加綜藝節目製作時數調查(合併綜合節目)、2015年起增加綜合節目製作時數調查，2016年起增加網路劇時數調查。
資料來源：台灣經濟研究院盤點整理自歷年電視節目表。
註3：103 年綜藝節目與綜合節目數值合計為 9805.67, 但因圖表無法表示, 因此省略.","","",""
"T","C","C","R"
"年(民國)","","","小時"
"","","","0"
"年度","節目類型","子類型","播出時間"
"101","戲劇節目","電視劇","3625"
"101","戲劇節目","網路劇","-"
"101","綜藝節目","綜藝節目","-"
"101","綜合節目","綜合節目","-"
"101","兒少節目","兒少節目","-"
"102","戲劇節目","電視劇","3713"
"102","戲劇節目","網路劇","-"
"102","綜藝節目","綜藝節目","-"
"102","綜合節目","綜合節目","-"
"102","兒少節目","兒少節目","-"
"103","戲劇節目","電視劇","3492"
"103","戲劇節目","網路劇","-"
"103","綜藝節目","綜藝節目",""
"103","綜合節目","綜合節目","-"
"103","兒少節目","兒少節目","-"
"104","戲劇節目","電視劇","4155"
"104","戲劇節目","網路劇","-"
"104","綜藝節目","綜藝節目","2409"
"104","綜合節目","綜合節目","8011"
"104","兒少節目","兒少節目","1099"
"105","戲劇節目","電視劇","3800"
"105","戲劇節目","網路劇","39"
"105","綜藝節目","綜藝節目","2763"
"105","綜合節目","綜合節目","6839"
"105","兒少節目","兒少節目","1068"
"106","戲劇節目","電視劇","3068"
"106","戲劇節目","網路劇","63"
"106","綜藝節目","綜藝節目","2253"
"106","綜合節目","綜合節目","7074"
"106","兒少節目","兒少節目","1107"
"107","戲劇節目","電視劇","2757"
"107","戲劇節目","網路劇","139"
"107","綜藝節目","綜藝節目","1865"
"107","綜合節目","綜合節目","6996"
"107","兒少節目","兒少節目","1374"
"108","戲劇節目","電視劇","2755"
"108","戲劇節目","網路劇","94"
"108","綜藝節目","綜藝節目","1634"
"108","綜合節目","綜合節目","6728"
"108","兒少節目","兒少節目","1584"
"109","戲劇節目","電視劇","2590"
"109","戲劇節目","網路劇","54"
"109","綜藝節目","綜藝節目","1960"
"109","綜合節目","綜合節目","6554"
"109","兒少節目","兒少節目","1243"